"zip","type","primary_city","acceptable_cities","unacceptable_cities","state","county","timezone","area_codes","latitude","longitude","world_region","country","decommissioned","estimated_population","notes"
"05060","STANDARD","Randolph","Braintree, W Brookfield, West Brookfield","East Roxbury","VT","Orange County","America/New_York","802","43.92","-72.67","NA","US","0","3991",
"05061","STANDARD","Randolph Center","Randolph Ctr",,"VT","Orange County","America/New_York","802","43.93","-72.58","NA","US","0","1100",
